* File "anna.dat" from the Stanford GraphBase (C) 1993 Stanford University
* Anna Karenina, by Leo Nikolaevitch Tolstoy
* This file may be freely copied but please do not change it in any way!
* (Checksum parameters 378,911441608)
AA Annushka, maid of AN
AG Agafea Mihalovna, housekeeper of LE
AL Alexey Alexandrovitch Karenin, minister of state
AN Anna Arkadyevna Karenina, wife of AL
AO Aliosha, son of DO and ST
AP Anna Pavlovna, wife of PV
BA Annie, baby of AN and VR
BD Dmitri (Mitya), baby of LE and KI
BE Madame Berthe, blind woman
BL Count Bol, friend of KI in Moscow
BN Bartnyansky, rich man in Petersburg
BO Countess Bola, wife of BL
BT Princess Betsy Tverskaya, cousin of VR
CA Count Anitchkin, supervisor of ST
CB Countess Bonina, dance partner of YK
CD Colonel Demin, colleague of VR
CN Countess Nordston, friend of KI
CO Cord, English horse trainer
CV Countess Vronskaya, mother of VR
DO Princess Darya Alexandrovna Oblonskaya (Dolly), wife of ST
ED Miss Edwards, English governor of SE
EF Marya Efimovna, nurse of AL
FC Fyodor 1, coachman of AA
FR Fyodor Ryezunov, carpenter
FY Fyodor 2, peasant
GA Gagin, officer from Petersburg
GO Golenishtchev, friend of VR
GR Grisha, young son of ST and DO
GV Grinevitch (Mihail Stanislavitch), board member
HA Hannah, pupil of AN
HO Miss Hoole, English governess to DO's children
IG Ignat, coachman of LE
IV Ivan 1, cowherd
IW Ivan 2, coachmen of LE
JL Jules Landau (Count Bezzubov), psychic
KA Captain Kamerovsky, cavalry officer
KE Prince Kedrov, member of VR's regiment
KI Princess Ekaterina Alexandrovna Shtcherbatskaya (Kitty), wife of LE
KO Sergei Ivanovitch Koznishev, half-brother of LE
KP Kapitonitch, hall porter of AL
KR Kritsky, friend of NI
KT Professor Katavasov, natural scientist
KU Prince Kuzovlev, fearful horseman
KV Krivin, bald socialite
KY Korney, valet of AL
KZ Kouzma, elderly servant of LE
LE Konstantin Dmitrievitch Levin, proprietor of Pokrovskoe
LI Countess Lidia Ivanovna, Petersburg dogooder
LK Lidi Korsunskaya, wife of YK
LL Lily, youngest child of DO and ST
LM Liza Merkalova, thin brunette admired by SM
LP Lizaveta Petrovna, midwife
LV Arseny Lvov, husband of NA
MA Matvey, valet of ST
MB Princess Marya Borissovna, KI's godmother
MC Mihail, coachman
MD Marya Dmitrievna, aunt of KI
ME Mariette, governess of SE
MH Mahotin, rival horseman to VR
MI Mihailov, painter
MJ Mihailitch, beekeeper
MK Mishka, peasant lad
ML Mademoiselle Linon, French governess of KI
MM Masha 3, little daughter of ST and DO
MN Marya Nikolaevna, companion of NI
MO Metrov, Petersburg social scientist
MP Mihael Petrovitch, landowner
MQ Masha 2, maid of KI
MR Mademoiselle Roland, French governess
MS Madame Stahl, invalid philanthropist
MT Masha Tchibisova, dancer
MV Marya Vlasyevna, midwife
MX Masha 1, young relative of BT
MY Princess Myakaya, enfant terrible
MZ Madame Sviazhskaya, wife of SV
NA Princess Natalia Lvova, sister of DO and KI
ND Nadinka, niece of LI
NI Nikolay Levin, brother of LE
NL Nikolinka, son of DO and ST
NN Nikitin (Philip Ivanovitch), board member
NS Nikolay Shtcherbatsky, cousin of KI
NT Nastia, sister of MV
NV Madame Nikolaevna, KI's maid of honor
NY Nevyedovsky, malignant gentleman
PA Parmenitch, old beekeeper
PC Prince Tchetchensky, man with two families
PD Pyotr Dmitrievitch, doctor
PE Pestsov, eccentric enthusiast
PH Matrona Marya Philimonovna, nurse
PK Prince Kaluzhsky, Petersburg party guest
PO Princess Oblonskaya, unmarried aunt of AN
PP Prince Pyotr Oblonsky, man of sixty
PR Prince Alexander Shtcherbatsky, father of DO and KI
PS Princess Shtcherbatskaya, mother of DO and KI
PT Lieutenant Petritsky, friend of VR
PV Mihail Alexeyevitch Petrov, painter
PX Pyotr, servant of AN
PY Prohor Yermilin, mower
RT Marya Yevgenyevna Rtishtcheva, lady of Moscow
RY Mihail Ignatitch Ryabinin, merchant
SA Sasha, wife of MI
SE Sergey Alexeyevitch Karenin (Seryozha), son of AL and AN
SH Baroness Shilton, friend of PT
SI Vassily Lukitch Sitnikov, tutor of SE
SL Mihail Vassilievitch Sludin, secretary of AL's department
SM Stremov, opponent of AL
SN Stepan Vassilievitch, landowner
SO Princess Sorokina, young friend of CV
SP General Serpuhovskoy, rival of VR
SQ Snetkow, marshal of Kashinsky province
SS Sappho Shtolz, blonde beauty
ST Prince Stepan Arkadyevitch Oblonsky (Stiva), brother of AN
SU Shuraev, peasant
SV Nikolay Ivanovitch Sviazhsky, landowner
SY Semyon, contractor to LE
TA Tanya, oldest daughter of ST and DO
TB Madame Trubetskaya, wedding guest
TC Tchirikov, best man of LE
TT Tit, mower
TU Tushkevitch, croquet player
TV Turovtsin, party guest
VA Varya, wife of XV
VE Venden, mustachioed clerk
VF Vassily Fedorovitch, bailiff of LE
VG Volgarinoff, Jew
VI Pyotr Ilyitch Vinovsky, club friend of ST
VK Varvara Andreevna (Varenka), adopted daughter of MS
VO Ivan Petrovich Vorkuev, publisher
VP Princess Varvara, aunt of ST
VR Count Alexey Kirillovitch Vronsky, young officer
VS Vaska, admirer of SS
VV Vassenka Veslovsky, distant cousin of KI
VY Voytov, horse purchaser
XV Alexander Vronsky, brother of VR
YG Yegor, servant in hotel
YK Yegorushka Korsunsky, handsome dancer
YS Young Shtcherbatsky, brother of KI
YV Captain Yashvin, gambling friend of VR

1.1:ST,DO
1.2:ST,MR;ST,PH,MA;MA,DO
1.3:ST,GR,TA;ST,MA
1.4:DO,ST;ST,MA;DO,PH
1.5:ST,NN,GV,LE
1.6:NA,DO,KE,LE;NA,LV
