* File "homer.dat" from the Stanford GraphBase (C) 1993 Stanford University
* $\rm I\Lambda IA\Delta O\Sigma$, by Homer
* This file may be freely copied but please do not change it in any way!
* (Checksum parameters 670,795252274)
AA Aethra, Trojan lady in waiting
AB Abarbarea, Trojan fountain nymph
AC Achilles, angry warrior, swift-footed chief of Myrmidons from Phthia
AD Automedon, charioteer of AC
AE Aeneas, leader of Dardanians
AF Aphrodite (Venus), daughter of ZE and DN, roots for Trojans
AG Agamemnon, king of Argos and Mycenae, leader of Greek forces
AH Andromache, wife of HT
AI Anchises, father of AE
AJ Great Ajax, king of Salamis
AL Antilochus, son of NE
AM Artemis (Cynthia/Diana), daughter of ZE and LE, roots for Trojans
AN Antenor, aged councilor to PR
AO Agenor, heir of AN, assists AE
AP Apollo, son of ZE and LE, roots for Trojans
AR Ares (Mars), son of ZE, roots for Trojans
AS Atreus, high king, father of AG and ME
AT Athene (Minerva), daughter of ZE, favors Greeks
AU Augeias, king in Elis, stables cleaned by HR
AX Little Ajax, king of Locris, handiest with a spear
AZ Aegaeon, hundred-armed giant, brother of CR
BL Bellerophon, king of Lycia after killing CM, 2F, 2G
BO Boreas, the north wind
BR Briseis, prize in AC harem
CA Calchas, wise prophet
CH Chryses, priest of AP
CI Charis, wife of HP
CL Clymene, Trojan lady in waiting, cow-eyed
CM Chimera, monster with head of lioness and tail of snake
CN Chiron, centaur, instructor of 97 and AC
CR Cronus (Saturn), father of HD, PO, ZE
CS Chryseis, daughter of CH
CT Castor, brother of HL, tamer of horses
DE Death, twin brother of SL
DI Diomedes, king of middle Argos, Tiryns, and Aegina
DM Demeter (Ceres), goddess with beautiful hair, mother of PP
DN Dione, consort of ZE
DP Deiphobus, son of PR and HC
DT Dionysus (Bacchus), god of wine
EA Euryalus, lieutenant of DI
EB Eurybates, herald of AG
EE Eeriboea, stepmother of EF and OT
EF Ephialtes, giant, brother of OT
EM Eurymedon, Greek charioteer
EN Enyo (Bellona), goddess of war
EO Eos (Aurora), rosy-fingered and saffron-robed goddess of dawn
EP Eurypylus, leader of forty ships from Thessaly
ER Erinnyes (Furies), goddesses of vengeance
EU Eurus, the east wind
FD False Dream, messenger of ZE
FY Phylus, son of AU, horseman favored by ZE
GL Glaucus, comrade and squire of SA, grandson of BL
GR Graces, handmaidens of AF
GS Greek soldiers, collectively
HA Hours (Horae), goddesses of the seasons
HB Hebe, daughter of ZE and HE, goddess of youth
HC Hecuba, wife of PR, queen of Troy
HD Hades (Pluto), king of the underworld
HE Hera (Juno), wife of ZE, favors Greeks
HL Helen, wife of ME, brought to Troy by PS
HM Hermes (Mercury), son of ZE, slightly favors the Greeks
HN Helenus, son of PR, soothsayer
HO Homer, the poet
HP Hephaestus (Vulcan), crippled son of ZE and HE, favors Greeks
HR Heracles (Hercules), heroic strong man
HT Hector, eldest son of PR and HC, brilliant commander of Trojan army
IA Idaeus, Trojan herald
ID Idomeneus, king of Crete
IR Iris, golden-winged Olympian messenger
LA Laodice, loveliest daughter of PR and HC
LE Leto (Latona), mother of AM and AP
LT Leitus, leader of Boeotians
LY Lycaon, brother of PS
MC Ate, goddess of mischief, eldest daughter of ZE
ME Menelaus, brother of AG, king of Sparta
MG Meges, son of FY, flotilla leader from western islands
MO Moira, personification of Fate
MR Meriones, comrade and squire of ID
MT Menestheus, Athenian leader, renowned chariot-fighter
MU Muses, nine sisters who like to sing
NE Nestor, venerable king of Pylus and Dorium
NI Night, goddess of nighttime
NO Notus, the south wind
NR Nereids, sisters of TH
OC Oceanus, father of all streams
OD Odysseus (Ulysses), crafty king of Ithaca
OG Olympian gods, collectively
OT Otus, giant, brother of EF
PA Patroclus, righthand man of AC
PB Peneleos, leader of Boeotians
PC Pelops, charioteer god
PD Polydamus, Trojan prince, son of 0N
PE Peleus, father of AC
PH Podarge, a harpy (snatcher)
PL Polites, son of PR
PN Pandarus, son of LY, archer who breaks truce
PO Poseidon (Neptune), king of the sea, favors Greeks
PP Persephone (Proserpina), wife of HD, queen of nether world
PR Priam, king of Troy, son of 1K
PS Paris (Alexander), son of PR and friend of AF
PT Prothoenor, Boeotian chief
PU Polydeuces (Pollux), twin brother of CT, boxer
PX Phoenix, king of Dolopians, tutor and foster father of AC
RA Axius, god of river in Macedonia
RH Rhea, consort of CR, mother of ZE, HE, PO, HD
RO Robots, golden handmaidens fabricated by HP
RU Rumor, goddess and servant of ZE
SA Sarpedon, son of ZE and 2E, leader of the Lycians
SE Semele, mother of DT
SF Strife, twin of AR
SI Simoeis, river god, tributary of XA
SL Sleep, twin brother of DE
SP Spercheius, tireless river god
ST Sthenelus, lieutenant of DI
TA Talthybius, herald of AG
TE Telamon, father of AJ and TU
TH Thetis, sea nymph, mother of AC
TI Themis, fair-cheeked goddess of law
TL Tlepolemus, son of HR and 9J, king of Rhodes
TM Thrasymedes, son of NE
TR Thersites, ugliest man in Greek army
TS Trojan soldiers, collectively
TT Tethys, wife of OC
TU Teucer, half brother of AJ
TY Thyestes, sheep breeder, brother of AS
WI Aeolus, lord of winds
XA Xanthus, son of ZE, god of the river Scamander
XB Xanthus and Balius, AC's divine horses, sired by ZF
ZE Zeus (Jove/Jupiter), king of the gods
ZF Zephyr, the west wind
01 Archelochus, son of AN, lieutenant of AE
02 Acamas, son of AN, lieutenant of AE
03 Adrestus, son of 05, co-leader of Adresteians
04 Amphius, son of 05, co-leader of Adresteians
05 Merops, king of Percote, soothsayer
06 Asius, leader of Hellespontian forces
07 Hippothous, twin brother of 08, co-leader of Pelasgians
08 Pylaeus, twin brother of 07, co-leader of Pelasgians
09 Peirous, chief of Thracians, killed by 9K
0A Euphemus, leader of Ciconian spearmen
0B Pyraechmes, leader of Paeonian archers
0C Pylaemenes, leader of Paphlagonian forces
0D Odius, co-leader of Halizonian forces
0E Epistrophus, co-leader of Halizonian forces
0F Chromius, co-leader of Mysian forces
0G Ennomus, augur and co-leader of Mysian forces
0H Phorcys, co-leader of Phrygian forces
0I Ascanius, godlike co-leader of Phrygian forces
0J Mesthles, brother of 0K, co-leader of Maeonian forces
0K Antiphus, brother of 0J, co-leader of Maeonian forces
0L Nastes, brother of 0M, co-leader of Carian forces
0M Amphimachus, vain brother of 0L, co-leader of Carians
0N Panthous, Trojan elder, formerly priest at Delphi
0O Thymoetes, Trojan elder
0P Lampus, brother of PR
0Q Clytius, brother of PR
0R Hicetaon, brother of PR
0S Ucalegon, Trojan elder
0T Otreus, king of Phrygia
0U Mygdon, king of Phrygia
0V Echepolus, killed by AL
0W Simoeisius, killed by AJ
0X Democoon, bastard son of PR, killed by OD
0Y Phegeus, son of 10, killed by DI
0Z Idaeus, brother of 0Y, saved by HP
10 Dares, noble priest of HP in Troy
